DJI_0248.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
-0.236784, -0.00733533, -0.0208535, 0.90279, -0.982192, 1, -0.0143785, -0.0136347, 0.00071119, 0.000460024, 3.16092e-05, -0.000791678, -7.34193e-05, -0.00108746
-0.15222, -0.0888418, 0.800684, -0.0607056, 0.0224707, -0.0143785, 1, -0.0992074, 0.00618915, 0.00356553, -0.0021465, 0.0195035, -0.0015646, -0.00863399
0.0414033, 0.946523, -0.0793322, -0.00703704, 0.0149687, -0.0136347, -0.0992074, 1, -0.00428655, -0.000182994, 0.000556179, 0.00304998, 0.0156805, 0.036954
0.0010804, -0.00359634, 0.00791819, 0.00176264, -0.000876786, 0.00071119, 0.00618915, -0.00428655, 1, -0.013308, -0.00128056, 0.0166552, -0.00665748, -0.204495
0.00853402, -0.000347402, 0.00267362, 0.0018585, -0.000520266, 0.000460024, 0.00356553, -0.000182994, -0.013308, 1, 0.000393163, 0.000899132, 0.01537, -0.149532
0.000769879, 0.000756596, -0.00267631, 0.000334265, -9.05546e-05, 3.16092e-05, -0.0021465, 0.000556179, -0.00128056, 0.000393163, 1, -0.105502, 0.160943, 0.00303255
-0.00492159, 0.00337169, 0.0232336, -0.00095198, 0.000872187, -0.000791678, 0.0195035, 0.00304998, 0.0166552, 0.000899132, -0.105502, 1, -0.16213, -0.0223321
-0.00314596, 0.0152778, -0.00166936, -0.000809364, 0.000131843, -7.34193e-05, -0.0015646, 0.0156805, -0.00665748, 0.01537, 0.160943, -0.16213, 1, 0.0064301
-0.0110329, 0.0375376, -0.00742421, -0.00240926, 0.00120199, -0.00108746, -0.00863399, 0.036954, -0.204495, -0.149532, 0.00303255, -0.0223321, 0.0064301, 1
DJI_0254.JPG
FC6310_8.8_4864x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, 0.0328556, -0.393775, -0.237045, 0.270453, -0.236784, -0.15222, 0.0414033, 0.000786593, 0.00916254, -0.000318518, -0.00534604, -0.00396503, -0.00950495
0.0328556, 1, -0.0565385, -0.0032051, 0.00815648, -0.00733533, -0.0888418, 0.946523, -0.00340221, 0.000169263, 0.000263359, 0.00396259, 0.0139792, 0.0374673
-0.393775, -0.0565385, 1, -0.0691387, 0.0259573, -0.0208535, 0.800684, -0.0793322, 0.00826726, 0.00345201, -0.00192626, 0.0232714, -0.00144102, -0.00797655
-0.237045, -0.0032051, -0.0691387, 1, -0.96124, 0.90279, -0.0607056, -0.00703704, 0.00162668, 0.00213452, 0.000181441, -0.000986529, -0.000871935, -0.00209652
0.270453, 0.00815648, 0.0259573, -0.96124, 1, -0.982192, 0.0224707, 0.0149687, -0.000683864, -0.000675888, -8.10437e-05, 0.00081959, 3.91838e-05, 0.00099104
